Nombre,Precio,Precio_Original,Ventas
 Huawei Nova 3 128 Gb + 4gb Ram 4 Camaras Sellado Libre Nuevo ,"7,599",, 161 vendidos 
 Huawei Mate 20 Leica 128gb + 4b Ram Nuevo Libre Sellado Msi ,"10,999",, 99 vendidos 
 Samsung Galaxy J8 2018 32 Gb + 3 Ram 4g Lte Nuevo Sellado ,"4,399",, 143 vendidos 
 Motorola Moto G7 Plus 4gb 64gb Huella Desbloqueado Msi ,"6,599",, 91 vendidos 
 Xiaomi Pocophone F1 128gb+6ram Batería 4000mah Nuevo ,"7,199",, 281 vendidos 
 Celular Xiaomi Redmi Note 7 64gb 4gb Ram Dual Versión Global ,"4,899",, 193 vendidos 
 Xiaomi Mi A2 Lite 64+4gb Global 12+5+5mpx Nuevo ,"3,870",, 1835 vendidos 
 Xiaomi Mi 8 Lite 64gb Dual Sim 4gb Ram Doble Cámara 12+5mpx ,"4,589",, 210 vendidos 
 Celular Xiaomi Redmi Note 6 Pro 32gb 3ram 4g Lte Dual Global ,"4,399"," 4,899 ", 154 vendidos 
 Celular Zte Blade A6 Pantalla 5.2 16gb Android 13mp 4g Nuevo ,"1,799"," 1,899 ", 181 vendidos 
 Xiaomi Redmi 6a 16gb+2ram Lte 5.45pg 13mpx Global ,"2,140",, 524 vendidos 
 Motorola Moto G7 Plus Dual (xt1965-2) 64gb+4gb Ram Msi ,"6,589",, 51 vendidos 
 Xiaomi Redmi Note 7 64gb 4gb Ram Dual Sim 48mpx Global Msi ,"4,999",, 129 vendidos 
 Celular Moto E4 16gb Ram 2gb Quad Core Android 7 ,"1,749"," 1,999 ", 755 vendidos 
 Celular Samsung Galaxy M20 32gb Ram 3gb Super Bateria Nuevo ,"3,588"," 3,987 ", 3638 vendidos 
 Celular Samsung Galaxy M10 16gb Ram 2gb Nuevo 13mp + 5mp ,"2,567"," 2,853 ", 934 vendidos 
 Xiaomi Mi Max 3 64gb+4ram Dual 6.9pg Máxima Batería Msi ,"5,620",, 134 vendidos 
 Celular Xiaomi Redmi 6a 16gb 2gb Ram Dual Sim Version Global ,"2,350",, 329 vendidos 
 Celular Motorola Moto G7 4gb 64gb Notch Huella Desbloqueado ,"5,999"," 6,599 ", 79 vendidos 
 Huawei Mate 20 Celular 4gb ,"11,689"," 15,999 ", 123 vendidos 
 Celular Motorola Moto G7 Plus 4gb 64gb Desbloqueado ,"6,999"," 7,599 ", 65 vendidos 
 Celular Samsung Galaxy S10 128gb Dual Sim + Sd Card ,"19,499",, 20 vendidos 
 Huawei Mate 20 Leica | 128 Gb | 4 Ram | Sellados ,"10,950",, 39 vendidos 
 Samsung Galaxy A7 2018 6p 64gb+4ram 24+8+5mp 24frontal Meses ,"5,875",, 193 vendidos 
 Huawei Honor 8x 64gb Dual Sim 4gb Ram 4g Lte 20mpx Msi ,"4,949",, 65 vendidos 
 Huawei Y9 2019 64gb Dual Sim 3gb Ram Camara Dual 16+13mp Msi ,"4,849",, 350 vendidos 
 Celular Apple iPhone 6 16gb 4g Lte Demo ,"3,399"," 4,999 ", 865 vendidos 
 Celular Samsung Galaxy M30 64gb 4gb R 3 Camaras Gran Bateria ,"5,199"," 5,777 ", 2347 vendidos 
 Samsung Galaxy S10+ Plus 128gb+8ram Exynos Nuevo Sellado Msi ,"19,670",, 96 vendidos 
 Huawei P30 128gb + 6gb Ram + Regalo Watch Gt ,"15,949",, 137 vendidos 
 Blu Studio View- Pantalla De 5.5 Hd Y 16gb Memoria Interna ,"1,399",, 153 vendidos 
 Xiaomi Mi Max 3 64gb Dual Sim Original Nuevo Desbloqueado ,"5,679",, 96 vendidos 
 Samsung Galaxy A50 64gb 4gb Ram Triple Camara 25mpx Msi ,"6,549",, 207 vendidos 
 Celular Motorola Moto G6 3gb 32gb Desbloqueado Selfie Flash ,"3,999"," 5,999 ", 128 vendidos 
 Moto Z3 Play Xt1929-06 64gb 4gb Ram Octa Core Sellado Msi ,"6,999",, 69 vendidos 
 Tablet Celular + Funda + Envio Gratis Nyx Vox 3g Android ,799,, 1528 vendidos - Estado De México 
 Celular Lg Phoenix 3 16gb Negro Liberado ,"1,299",, 254 vendidos 
 Celular Lg V20 64gb 16mp Android 7 Liberado Demo ,"2,925"," 3,999 ", 920 vendidos 
 Motorola Moto G6 Play 16gb Lector De Huella + Mica Cristal ,"3,399",, 653 vendidos 
 Celular Huawei Mate 20 Lite 64gb 4ram 4g Lte Dual Sim ,"6,899"," 7,699 ", 575 vendidos 
" Blu Vivo Xi -pantalla De 5.9 , 32gb Memoria Y 3gb Ram ","2,999",, 72 vendidos 
 Celular Iphone Xs 64gb Nacional Nuevo Libre Sellado Msi ,"22,499",, 37 vendidos 
